Festival Name,Start Date,End Date
Cedar Rapids Independent Film Festival,4/3/20,4/4/20
Central Film Festival,4/3/20,4/4/20
Central Michigan International Film Festival,2/5/20,2/9/20
Chagrin Documentary Film Festival,10/7/20,10/11/20
Chain NYC Film Festival,8/6/20,8/16/20
Chandler International Film Festival,1/17/20,1/20/20
Charlotte Black Film Festival,4/2/20,4/5/20
Charlotte Film Festival,9/23/20,9/27/20
Charlotte Jewish Film Festival,2/1/20,2/23/20
Chattanooga Film Festival,4/16/20,4/19/20
Chautauqua International Film Festival,7/18/20,7/18/20
Chelsea Film Festival,10/15/20,10/18/20
Chicago Comedy Film Festival,3/20/20,3/22/20
Chicago Horror Film Festival,9/26/20,9/27/20
Chicago International Children's Film Festival,11/13/20,11/22/20
Chicago International Film Festival,10/14/20,10/25/20
Chicago International REEL Shorts Film Festival,11/13/20,11/14/20
Chicago Irish Film Festival,2/27/20,3/1/20
Chicago Jewish Film Festival,2/28/20,3/15/20
Chicago Latino Film Festival,4/16/20,4/30/20
Chicago Underground Film Festival,6/10/20,6/14/20
"Chico Independent Film Festival, The",5/14/20,5/24/20
Children's Film Festival Seattle,2/27/20,3/8/20
Chistian Youth Film Festival,3/7/20,3/8/20
Cine Las Americas International Film Festival,5/6/20,5/10/20
Cine-World Film Festival,11/6/20,11/15/20
CineKink NYC,3/18/20,3/22/20
Cinema at the Edge Independent Film Festival (CATE),2/21/20,2/23/20
Cinema Diverse: The Palm Springs LGBTQ Film Festival,9/17/20,9/20/20
Cinema on the Bayou,1/22/20,1/29/20
Cinema Systers Film Festival,5/21/20,5/24/20
Cinema Touching Disability,10/1/20,10/31/20
Cinema Verde Environmental Film & Arts Festival,2/13/20,2/16/20
CineMarfa Film Festival,4/30/20,5/10/20
Cinequest,3/3/20,3/15/20
CineSol Film Festival,11/21/20,11/22/20
CineYouth Film Festival,5/8/20,5/10/20
Clean Shorts Film Festival,4/3/20,4/4/20
Cleveland International Film Festival,3/25/20,4/5/20
ClexaCon Film Festival,4/16/20,4/19/20
Colony Short Film Festival,3/6/20,3/7/20
Colorado Environmental Film Festival,2/20/20,2/22/20
Columbus International Film & Video Festival,4/17/20,4/18/20
Comicpalooza,5/22/20,5/24/20
Common Good International Film Festival,2/14/20,2/17/20
Con Nooga Film Festival,2/21/20,2/23/20
ConCarolinas Short Film Festival,5/29/20,5/31/20
Coney Island Film Festival,9/11/20,9/13/20
Connecticut LGBT Film Festival,5/29/20,6/6/20
Copa Short Film Fest,11/7/20,11/8/20
Cordillera International Film Festival,7/23/20,7/26/20
