Sport,Event,Location,date_start,date_end
Boxing,AIBA World Championships (men),"Belgrade, Serbia",2021-10-25,2021-11-06
Horse Racing,Melbourne Cup,"Victoria, Australia",2021-11-02,2021-11-02
Table Tennis,World Championship,"Houston, United States",2021-11-23,2021-11-29
Handball,World Championships (women),Spain,2021-12-02,2021-12-19
Weightlifting,World Championships,"Tashkent, Uzbekistan",2021-12-07,2021-12-17
Multi-sports,Winter FISU World University Games,"Lucerne, Switzerland",2021-12-11,2021-12-21
Swimming,FINA World Swimming Championships (25m),"Abu Dhabi, UAE",2021-12-16,2021-12-21
Football (Soccer),Africa Cup of Nations,Cameroon,2022-01-09,2022-02-06
Tennis,Australian Open,"Melbourne, Australia",2022-01-17,2022-01-30
Extreme Sports,Winter X Games 26,"Aspen, Colorado, USA",2022-01-21,2022-01-23
Multi-sports,Winter Olympics,"Beijing, China",2022-02-04,2022-02-20
Rugby,Six Nations,"UK, Ireland, France & Italy",2022-02-05,2022-03-19
Football (American),Super Bowl,"Inglewood, California",2022-02-13,2022-02-13
Multi-sports,Winter Paralympics,"Beijing, China",2022-03-04,2022-03-13
Cricket,ODI World Cup for women,New Zealand,2022-03-04,2022-04-03
Multi-sports,Winter Military World Games,"Berchtesgaden and Ruhpolding, Germany",2022-03-22,2022-03-27
Golf,Masters,"Augusta, Georgia, USA",2022-04-07,2022-04-10
Horse Racing,Grand National,Aintree Racecourse in Liverpool,2022-04-09,2022-04-09
Multi-sports,Invictus Games,"The Hague, Netherlands",2022-04-16,2022-04-22
Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2022-04-16,2022-05-02
Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2022-05-07,2022-05-07
Multi-sports,South-East Asian Games,"Hanoi, Vietnam",2022-05-12,2022-05-23
Multi-sports,World Masters Games (Summer),"Kansai, Japan",2022-05-13,2022-05-29
Ice Hockey,IIHF World Championship,Finland,2022-05-13,2022-05-29
Golf,US PGA,"Southern Hills Country Club,
Tulsa, Oklahoma",2022-05-19,2022-05-22
Tennis,French Open,"Paris, France",2022-05-22,2022-06-05
Football (Soccer),UEFA Champions League Final,"Stade de France, Saint-Denis, France",2022-05-28,2022-05-28
Auto Racing,Indianapolis 500,"Indianapolis, USA",2022-05-29,2022-05-29
Basketball,NBA Finals,Boston & San Francisco,2022-06-02,2022-06-16
Ice Hockey,Stanley Cup finals,"Tampa & Denver, USA",2022-06-15,2022-06-28
Golf,US Open,"The Country Club	Brookline, Massachusetts",2022-06-16,2022-06-19
Swimming,World Aquatics Championships,"Budapest, Hungary",2022-06-18,2022-07-03
Tennis,Wimbledon,"London, England",2022-06-27,2022-07-10
Field Hockey,Women's FIH Hockey World Cup,"Terrassa, Spain and Amstelveen, Netherlands",2022-07-01,2022-07-17
Cycling,Tour de France,France,2022-07-01,2022-07-24
Multi-sports,World Games,"Birmingham, Alabama, USA",2022-07-07,2022-07-17
Golf,The Open Championship,Old Course at St Andrews	St Andrews	Fife	Scotland,2022-07-14,2022-07-17
Athletics,IAAF World Championships,"Eugene, Oregon USA",2022-07-15,2022-07-24
Extreme Sports,Summer X Games,"California, USA",2022-07-20,2022-07-24
Multi-sports,World Police and Fire Games,"Rotterdam, South Holland, Netherlands",2022-07-22,2022-07-31
Cycling,Tour de France Femmes,France,2022-07-24,2022-07-31
Multi-sports,Commonwealth Games,"Birmingham, England",2022-07-28,2022-08-08
American Football,IFAF Women's American Football Championships,Vantaa Finland,2022-07-28,2022-08-08
Equestrian,FEI World Equestrian Games,"Herning, Denmark",2022-08-06,2022-08-14
Multi-sports,Islamic Solidarity Games,"Konya, Türkiye",2022-08-09,2022-08-18
Multi-sports,European Sports Championships,"Munich, Germany",2022-08-11,2022-08-21
Volleyball,World Volleyball Championships (men),Poland & Slovenia,2022-08-26,2022-09-11
Tennis,US Open,"New York, USA",2022-08-29,2022-09-11
Rugby 7s,Rugby World Cup Sevens,"Cape Town, South Africa",2022-09-09,2022-09-11
Cycling,UCI Road World Championships,"Wollongong, Australia",2022-09-18,2022-09-25
Rowing,World Rowing Championships,"Račice, Czechia",2022-09-18,2022-09-25
Golf,Presidents Cup,"Quail Hollow Club, Charlotte, North Carolina",2022-09-19,2022-09-25
Basketball,FIBA Women's Basketball World Cup,"Sydney, Australia",2022-09-22,2022-10-01
Volleyball,World Volleyball Championships (women),Netherlands & Poland,2022-09-23,2022-10-15
AFL,Grand Final,"Melbourne, Australia",2022-09-24,2022-09-24
Table Tennis,World Championship,"Chengdu, China",2022-09-30,2022-10-09
Multi-Sports,South American Games,"Asunción, Paraguay",2022-10-01,2022-10-15
Rugby League,NRL Grand Final,Sydney,2022-10-02,2022-10-02
Rugby,Womens World Cup,New Zealand,2022-10-08,2022-11-12
Cycling,World Track Championships,"Montigny-le-Bretonneux, France",2022-10-12,2022-10-16
Rugby League,World Cup,England,2022-10-15,2022-11-19
Cricket,ICC World T20 (men),Australia,2022-10-16,2022-11-13
Baseball,World Series,"Philadelphia and Houston, USA",2022-10-28,2022-11-05
Horse Racing,Melbourne Cup,"Victoria, Australia",2022-11-01,2022-11-01
Football (Soccer),FIFA World Cup,Qatar,2022-11-21,2022-12-18
Weightlifting,World Championships,"Chongqing, China Bogota, Colombia",2022-12-05,2022-12-16
Swimming,FINA World Swimming Championships (25m),"Kazan, Russia Melbourne, Australia",2022-12-13,2022-12-18
