Date(s),Sport,Event,Location,date_start,date_end
Jan 13–31,Handball,World Championships (men),Egypt,2021-01-13,2021-01-31
Jan 29-31,Extreme Sports,Winter X Games 25,"Aspen, Colorado, USA",2021-01-29,2021-01-31
Feb 4-11,Football (Soccer),2020 FIFA Club World Cup,"Doha, Qatar",2021-02-04,2021-02-11
Feb 6 - Mar 20,Rugby,Six Nations,"UK, Ireland, France & Italy",2021-02-06,2021-03-20
Feb 7,Football (American),Super Bowl,"Raymond James Stadium, Tampa, Florida",2021-02-07,2021-02-07
Feb 8-21,Tennis,Australian Open,"Melbourne, Australia",2021-02-08,2021-02-21
Feb 8-21,Skiing,World Alpine Ski Championships,"Cortina d'Ampezzo, Italy",2021-02-08,2021-02-21
Feb 23-Mar 7,Skiing (Nordic),Nordic World Ski Championships,"Oberstdorf, Germany",2021-02-23,2021-03-07
Mar 6-21,Sailing,America's Cup,"Waitemata Harbour, New Zealand",2021-03-06,2021-03-21
Apr 8-11,Golf,Masters,"Augusta, Georgia, USA",2021-04-08,2021-04-11
Apr 10,Horse Racing,Grand National,Aintree Racecourse in Liverpool,2021-04-10,2021-04-10
Apr 17 - May 3,Snooker,World Snooker Championship,"Crucible Theatre in Sheffield, England",2021-04-17,2021-05-03
May 1,Horse Racing,Kentucky Derby,"Louisville, Kentucky, US",2021-05-01,2021-05-01
May 15,Football (Soccer),FA Cup final,"Wembley Stadium, London",2021-05-15,2021-05-15
May 20-23,Golf,US PGA,"Kiawah Island Golf Resort, Ocean Course, Kiawah Island, SC",2021-05-20,2021-05-23
May 21 - June 6,Ice Hockey,IIHF World Championship,"Riga, Latvia",2021-05-21,2021-06-06
May 29,Football (Soccer),UEFA Champions League Final,"Estádio do Dragão, Porto, Portugal",2021-05-29,2021-05-29
May 30,Auto Racing,Indianapolis 500,"Indianapolis, USA",2021-05-30,2021-05-30
May 30 - Jun 13,Tennis,French Open,"Paris, France",2021-05-30,2021-06-13
Jun 11 - Jul 11 (postponed from 2020),Football (Soccer),Euro 2020,"tournament played across Europe, the final in London UK.",2021-06-11,2021-07-11
Jun 13 - Jul 10 (postponed from 2020),Football (Soccer),47th Copa América,"Argentina, Colombia Brazil",2021-06-13,2021-07-10
Jun 17-20,Golf,US Open,"Torrey Pines Golf Course, La Jolla, California",2021-06-17,2021-06-20
Jun 26 - Jul 18,Cycling,Tour de France,France,2021-06-26,2021-07-18
Jun 28 - July 7,Ice Hockey,Stanley Cup finals,Montreal & Tampa,2021-06-28,2021-07-07
Jun 28 - July 11,Tennis,Wimbledon,"London, England",2021-06-28,2021-07-11
July 6–20,Basketball,NBA Finals,Milwaukee & Phoenix,2021-07-06,2021-07-20
July 14-18,Extreme Sports,Summer X Games,Southern California,2021-07-14,2021-07-18
Jul 15–18,Golf,The Open Championship,Royal St George's Golf Club	Sandwich	Kent	England,2021-07-15,2021-07-18
Jul 23 - Aug 8,Multi-sports,Summer Olympics,"Tokyo, Japan",2021-07-23,2021-08-08
Aug 21-22 (postponed from Jun 12-13),Auto Racing,89th 24 Hours of Le Mans,"Circuit de la Sarthe, Le Mans, France",2021-08-21,2021-08-22
Aug 24 - Sep 5,Multi-sports,Paralympic Games,"Tokyo, Japan",2021-08-24,2021-09-05
Aug 30 - Sep 12,Tennis,US Open,"New York, USA",2021-08-30,2021-09-12
Sep 4-6,Golf,Solheim Cup,"Toledo, Ohio, USA",2021-09-04,2021-09-06
Sep 19-26,Cycling,UCI Road World Championships,"Bruges and Leuven, Belgium",2021-09-19,2021-09-26
Sep 24-26 (postponed from 2020),Golf,Ryder Cup,"Whistling Straits (Haven, Wisconsin)",2021-09-24,2021-09-26
Sept 25,AFL,Grand Final,"Perth, WA",2021-09-25,2021-09-25
Oct 3,Rugby League,NRL Grand Final,"Sydney Cricket Ground, Australia",2021-10-03,2021-10-03
Oct 17 - Nov 14,Cricket,ICC World T20 (men),UAE and Oman,2021-10-17,2021-11-14
Oct 20-24,Cycling,World Track Championships,"Achgabat, Turkmenistan Roubaix, France",2021-10-20,2021-10-24
Oct 26 - Nov 2,Baseball,World Series,"Truist Park (Atlanta), Minute Maid Park (Houston)",2021-10-26,2021-11-02
Oct 25 - Nov 6,Boxing,AIBA World Championships (men),"Belgrade, Serbia",2021-10-25,2021-11-06
Nov 2,Horse Racing,Melbourne Cup,"Victoria, Australia",2021-11-02,2021-11-02
Nov 23-29,Table Tennis,World Championship,"Houston, United States",2021-11-23,2021-11-29
Dec 2-19,Handball,World Championships (women),Spain,2021-12-02,2021-12-19
Dec 7-17,Weightlifting,World Championships,"Tashkent, Uzbekistan",2021-12-07,2021-12-17
"Dec 11-21 (postponed from January, then canceled)",Multi-sports,Winter FISU World University Games,"Lucerne, Switzerland",2021-12-11,2021-12-21
Dec 16-21 (postponed from Dec 2020),Swimming,FINA World Swimming Championships (25m),"Abu Dhabi, UAE",2021-12-16,2021-12-21
