Object ID,Last Year's Month,ADDRESS,Primary Category for Calendar,Category,GA,Festival Name,Website,FilmFreeway / Submissions,Date Changes & Cancellations due to COVID-19,Start Date,End Date,City,State,First Submission Deadline,Last Submission Deadline,Oscar Qualifying (Short Subject),Oscar Qualifying (Doc Short),Film Fest Alliance,Category Start,General,Documentary,Short,Women's,LGBTQ+,Jewish,"Black, African, Afr. Am. (etc)","Asian, As. Am. (etc)","Latino, Latin American (etc)","Native American, Indigenous (etc)","Muslim, Arab, Arab Am. (etc)","Misc. Ethnic, Cultural, Foreign Focus (etc)","Genre - (SciFi, Fantasy, Thriller, Horror, etc.)",Horror,Underground,Animation,Comedy,Student,Misc. Niche,"Environment, Outdoor, Adventure, Wildlife","Social Justice, Peace",Children's,Dance,Christian,"Experimental, Video Art (etc)"
51,8,"1100 Dexter St, Austin, TX 78704",LGBTQ+,LGBTQ+,,"All Genders, Lifestyles, and Identities Film Festival ",https://www.agliff.org/,https://filmfreeway.com/AustinGLIFF,Switched to virtual Aug 6-16,8/6/2020,8/9/2020,Austin,TX,1/12/2020,6/7/2020,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,
1006,8,"2820 East 33rd Street, Minneapolis, Minnesota 55406","Experimental, Video Art (etc)","Short, Experimental, Video Art (etc)",,Altered Esthetics Film Festival,https://www.alteredesthetics.org/,https://filmfreeway.com/AeFilmFestival,,tbd,tbd,Minneapolis,MN,tbd,tbd,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x
12,,"1601 Collins Avenue, Miami Beach, FL 33139","Black, African, Afr. Am. (etc)",Black/African/African American,,American Black Film Festival,http://www.abff.com/,https://filmfreeway.com/AmericanBlackFilmFestival,New Dates: Oct 21-25,6/17/2020,6/21/2020,Miami Beach,FL,12/31/2019,2/1/2020,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
13,10,"Shepherdstown, WV 25443","Environment, Outdoor, Adventure, Wildlife",Environmental/Outdoor/Adventure/Wildlife,,American Conservation Film Festival,http://conservationfilmfest.org/,https://filmfreeway.com/ACFF,,3/24/2020,3/28/2020,Shepherdstown,WV,6/1/2020,9/1/2020,,,, ,,,,,,,,,,,,,,,,,,,,x,,,,,
763,,"1833 S. Araby Drive #2 Palm Springs, CA 92264 United States",Documentary,"Documentary, Animation",,American Documentary and Animation Film Festival,https://www.americandocumentaryfilmfestival.com/,https://filmfreeway.com/AmericanDocumentaryFilmFestivalandFilmFund,New Dates: Sept 25-29,3/27/2020,3/31/2020,Palm Springs,CA,6/16/2019,1/12/2020,,X,,,,x,,,,,,,,,,,,,,x,,,,,,,,,
14,,"1140 E Baseline Rd, Tempe, Arizona 85283",Horror,Horror,,American Horror Film Festival,http://www.americanhorrorfilmfestival.com/,https://filmfreeway.com/AmericanHorrorFilmFestival,,1/11/2020,1/11/2020,Tempe,AZ,2/9/2019,8/23/2019,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
15,10,"2940 - 16th Street, Suite 304 San Francisco, CA 94103 United States","Native American, Indigenous (etc)",Native American/Indigenous,,American Indian Film Festival,https://www.aifisf.com/,https://filmfreeway.com/AIFF,,11/3/2020,11/7/2020,San Francisco,CA,3/31/2020,7/31/2020,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
16,,"210 Peachtree St NW, Atlanta, GA 30303",Student,Student,,American Youth Film Festival,https://www.americanyouthfilmfest.org/,https://filmfreeway.com/AmericanYouthFilmFestival,Postponed ,6/25/2020,6/28/2020,Atlanta,GA,1/18/2020,4/4/2020,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
831,12,"200 W 34th Ave, PMB #136 Anchorage, AK 99503 United States",General,General,,Anchorage International Film Festival,http://anchoragefilmfestival.org/,https://filmfreeway.com/AnchorageInternationalFilmFestival,,12/4/2020,12/13/2020,Anchorage,AK,5/1/2020,9/15/2020,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
17,,"5021 Highland Avenue, Downers Grove, Illinois 60515",Student,"Student, Animation",,Anim8 Student Film Festival,http://www.afterhoursfilmsociety.com/,https://filmfreeway.com/Anim8,,10/19/2020,10/19/2020,Downers Grove,IL,6/15/2020,7/31/2020,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,
18,10,"401 Broad Street, Nevada City, California 95959","Environment, Outdoor, Adventure, Wildlife",Environmental/Outdoor/Adventure/Wildlife,,Animal Film Festival,http://www.animalfilmfestival.org/,https://filmfreeway.com/AnimalFilmFestival,,tbd,tbd,Nevada City,CA,tbd,tbd,,,, ,,,,,,,,,,,,,,,,,,,,x,,,,,
19,,"1505 W Saint Mary's Road # 172 Tucson, AZ 85745 United States",Animation,"Short, Animation",,Animated Arizona Film Festival,http://animatedarizona.wixsite.com/aaff,https://filmfreeway.com/AnimatedArizonaFilmFestival,,1/18/2020,1/18/2020,Tucson,AZ,7/31/2019,11/15/2019,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
20,9,"30 Lafayette Ave, Brooklyn, NY 11217",Animation,Animation,,Animation Block Party,http://www.ani...ionblock.com/,https://filmfreeway.com/AnimationBlockParty,,tbd,tbd,Brooklyn,NY,tbd,tbd,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
1029,,"200 North 14th Street, Brooklyn, New York 11211",Animation,"Animation, Short",,Animation Nights New York ,Http://www.animationnights.com,https://filmfreeway.com/AnimationNights,New Dates: Nov 20-22,10/3/2020,10/4/2020,New York,NY,8/1/2019,7/30/2020,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,
21,,"230 Collingwood Dr, Suite 160B, Ann Arbor, Michigan 48103",General,General,,Ann Arbor Film Festival ,https://www.aafilmfest.org/,https://filmfreeway.com/AAFilmFest,Events canceled ,3/24/2020,3/29/2020,Ann Arbor,MI,7/31/2019,10/9/2019,X,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
22,,"107 Annapolis Street Suite J Annapolis, MD 21401 United States",General,General,,Annapolis Film Festival,http://www.ann...festival.net/,https://filmfreeway.com/AnnapolisFilmFestival,Events canceled; considering creative alternatives,3/26/2020,3/29/2020,Annapolis,MD,9/15/2019,12/15/2019,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
813,12,"1746 Post St, San Francisco, CA 94115",General,General,,Another Hole in the Head Film Festival,https://www.ahith.com/,https://filmfreeway.com/SanFranciscoAnotherHoleintheHead,,11/29/2020,12/13/2020,San Francisco,CA,2/29/2020,10/15/2020,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
